freq,indic_ppp,ppp_cat18,geo,TIME_PERIOD,values
A,VI_PPS_EU27_2020_HAB,GDP,HU,2020-01-01,75
A,VI_PPS_EU27_2020_HAB,GDP,HU,2021-01-01,75
A,VI_PPS_EU27_2020_HAB,GDP,HU,2022-01-01,76
A,VI_PPS_EU27_2020_HAB,GDP,HU,2023-01-01,76
A,VI_PPS_EU27_2020_HAB,GDP,HU,2024-01-01,76
A,VI_PPS_EU27_2020_HAB,GDP,HU,2025-01-01,76
A,VI_PPS_EU27_2020_HAB,GDP,IE,2014-01-01,141
A,VI_PPS_EU27_2020_HAB,GDP,IE,2015-01-01,185
A,VI_PPS_EU27_2020_HAB,GDP,IE,2016-01-01,178
A,VI_PPS_EU27_2020_HAB,GDP,IE,2017-01-01,187
A,VI_PPS_EU27_2020_HAB,GDP,IE,2018-01-01,192
A,VI_PPS_EU27_2020_HAB,GDP,IE,2019-01-01,190
A,VI_PPS_EU27_2020_HAB,GDP,IE,2020-01-01,205
A,VI_PPS_EU27_2020_HAB,GDP,IE,2021-01-01,225
A,VI_PPS_EU27_2020_HAB,GDP,IE,2022-01-01,237
A,VI_PPS_EU27_2020_HAB,GDP,IE,2023-01-01,218
A,VI_PPS_EU27_2020_HAB,GDP,IE,2024-01-01,221
A,VI_PPS_EU27_2020_HAB,GDP,IE,2025-01-01,237
A,VI_PPS_EU27_2020_HAB,GDP,IS,2014-01-01,126
A,VI_PPS_EU27_2020_HAB,GDP,IS,2015-01-01,131
A,VI_PPS_EU27_2020_HAB,GDP,IS,2016-01-01,135
A,VI_PPS_EU27_2020_HAB,GDP,IS,2017-01-01,133
A,VI_PPS_EU27_2020_HAB,GDP,IS,2018-01-01,131
A,VI_PPS_EU27_2020_HAB,GDP,IS,2019-01-01,129
A,VI_PPS_EU27_2020_HAB,GDP,IS,2020-01-01,123
A,VI_PPS_EU27_2020_HAB,GDP,IS,2021-01-01,124
A,VI_PPS_EU27_2020_HAB,GDP,IS,2022-01-01,135
A,VI_PPS_EU27_2020_HAB,GDP,IS,2023-01-01,136
A,VI_PPS_EU27_2020_HAB,GDP,IS,2024-01-01,131
A,VI_PPS_EU27_2020_HAB,GDP,IT,2014-01-01,98
A,VI_PPS_EU27_2020_HAB,GDP,IT,2015-01-01,97
A,VI_PPS_EU27_2020_HAB,GDP,IT,2016-01-01,99
A,VI_PPS_EU27_2020_HAB,GDP,IT,2017-01-01,98
A,VI_PPS_EU27_2020_HAB,GDP,IT,2018-01-01,97
A,VI_PPS_EU27_2020_HAB,GDP,IT,2019-01-01,96
A,VI_PPS_EU27_2020_HAB,GDP,IT,2020-01-01,93
A,VI_PPS_EU27_2020_HAB,GDP,IT,2021-01-01,96
A,VI_PPS_EU27_2020_HAB,GDP,IT,2022-01-01,98
A,VI_PPS_EU27_2020_HAB,GDP,IT,2023-01-01,98
A,VI_PPS_EU27_2020_HAB,GDP,IT,2024-01-01,98
A,VI_PPS_EU27_2020_HAB,GDP,IT,2025-01-01,96
A,VI_PPS_EU27_2020_HAB,GDP,JP,2014-01-01,106
A,VI_PPS_EU27_2020_HAB,GDP,JP,2015-01-01,106
A,VI_PPS_EU27_2020_HAB,GDP,JP,2016-01-01,99
A,VI_PPS_EU27_2020_HAB,GDP,JP,2017-01-01,96
A,VI_PPS_EU27_2020_HAB,GDP,JP,2018-01-01,94
A,VI_PPS_EU27_2020_HAB,GDP,JP,2019-01-01,88
A,VI_PPS_EU27_2020_HAB,GDP,JP,2020-01-01,89
A,VI_PPS_EU27_2020_HAB,GDP,JP,2021-01-01,85
A,VI_PPS_EU27_2020_HAB,GDP,JP,2022-01-01,81
A,VI_PPS_EU27_2020_HAB,GDP,JP,2023-01-01,83
A,VI_PPS_EU27_2020_HAB,GDP,JP,2024-01-01,82
A,VI_PPS_EU27_2020_HAB,GDP,LT,2014-01-01,75
A,VI_PPS_EU27_2020_HAB,GDP,LT,2015-01-01,75
